,data
614432,987.0
614433,997.0
614434,829.0
614559,1009.0
614560,977.0
614561,951.0
614562,960.0
614563,906.0
614687,877.0
614688,975.0
614689,1004.0
614690,1002.0
628601,634.0
628729,930.0
628857,974.0
628985,967.0
629113,940.0
629241,941.0
629369,973.0
629497,931.0
629625,695.0
630687,704.0
630688,919.0
630689,988.0
630690,705.0
630814,976.0
630815,1068.0
630816,575.0
630817,494.0
630818,868.0
630819,982.0
630941,905.0
630942,989.0
630943,1044.0
630944,1024.0
630945,1010.0
630946,1063.0
630947,945.0
630948,890.0
631069,891.0
631070,966.0
631071,1025.0
631072,308.0
631073,82.0
631074,272.0
631075,460.0
631076,448.0
631199,938.0
631200,993.0
631201,996.0
631202,974.0
644601,955.0
644728,867.0
644729,976.0
644856,1000.0
644857,928.0
644983,960.0
644984,922.0
644985,870.0
645111,990.0
645112,894.0
645113,886.0
645238,841.0
645239,957.0
645240,885.0
645241,876.0
645366,895.0
645367,931.0
645368,866.0
645369,889.0
645494,906.0
645495,909.0
645496,886.0
645497,875.0
645622,908.0
645623,922.0
645624,876.0
645625,870.0
645750,791.0
645751,919.0
645752,888.0
645753,898.0
645878,570.0
645879,970.0
645880,899.0
645881,870.0
646007,956.0
646008,918.0
646009,871.0
646135,547.0
646136,962.0
646137,877.0
646264,611.0
646265,924.0
646959,652.0
646960,805.0
647070,839.0
647071,947.0
647072,845.0
647073,937.0
647074,1038.0
647075,656.0
647087,1045.0
647088,1061.0
647089,947.0
647090,858.0
647197,961.0
647198,958.0
647199,399.0
647200,21.0
647201,31.0
647202,28.0
647215,1086.0
647216,1023.0
647217,946.0
647218,686.0
647222,2015.0
647324,963.0
647325,1016.0
647326,1044.0
647327,941.0
647328,681.0
647329,946.0
647330,1022.0
647331,988.0
647332,971.0
647333,900.0
647343,1094.0
647344,1006.0
647345,879.0
647346,676.0
647453,955.0
647454,967.0
647455,467.0
647456,152.0
647457,283.0
647458,529.0
647459,690.0
647460,686.0
647471,823.0
647472,926.0
647473,856.0
647474,810.0
647581,773.0
647582,972.0
647583,940.0
647584,762.0
647585,859.0
647586,946.0
647587,689.0
660729,985.0
660856,984.0
660857,884.0
660983,997.0
660984,883.0
660985,884.0
661110,998.0
661111,897.0
661112,900.0
661113,892.0
661237,764.0
661238,929.0
661239,887.0
661240,897.0
661241,894.0
661365,978.0
661366,878.0
661367,892.0
661368,896.0
661369,859.0
661493,983.0
661494,891.0
661495,883.0
661496,879.0
661497,874.0
661620,755.0
661621,947.0
661622,868.0
661623,880.0
661624,886.0
661625,887.0
661748,822.0
661749,906.0
661750,884.0
661751,885.0
661752,876.0
661753,886.0
661876,820.0
661877,915.0
661878,875.0
661879,867.0
661880,885.0
661881,877.0
662004,788.0
662005,915.0
662006,898.0
662007,875.0
662008,897.0
662009,880.0
662132,678.0
662133,936.0
662134,864.0
662135,886.0
662136,907.0
662137,879.0
662261,964.0
662262,878.0
662263,875.0
662264,887.0
662265,903.0
662389,879.0
662390,894.0
662391,876.0
662392,886.0
662393,899.0
662517,501.0
662518,908.0
662519,888.0
662520,894.0
662521,896.0
662646,877.0
662647,893.0
662648,888.0
662649,893.0
662775,970.0
662776,890.0
662777,873.0
662904,910.0
662905,898.0
663033,910.0
663088,898.0
663089,864.0
663209,934.0
663210,1001.0
663211,950.0
663215,1025.0
663216,1022.0
663217,1032.0
663218,953.0
663219,799.0
663220,583.0
663221,367.0
663222,545.0
663223,602.0
663224,341.0
663225,696.0
663226,182.0
663329,926.0
663330,1018.0
663331,640.0
663336,997.0
663337,999.0
663338,992.0
663339,1040.0
663340,797.0
663343,1064.0
663344,1010.0
663345,987.0
663346,972.0
663347,933.0
663348,1070.0
663349,952.0
663350,924.0
663351,1035.0
663352,1012.0
663353,923.0
663354,876.0
663355,659.0
663453,318.0
663454,748.0
663455,920.0
663456,982.0
